2024-02-21 21:43:47 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-02-21 21:43:47 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-02-21 21:43:47 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-02-21 21:43:47 |INFO  |main |StartupInfoLogger.java:61 |ljl.user_center.CenterEditApplication |Started CenterEditApplication in 19.763 seconds (JVM running for 21.413)
2024-02-21 21:43:55 |INFO  |http-nio-3000-exec-3 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-21 21:43:55 |INFO  |http-nio-3000-exec-3 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-02-21 21:43:55 |INFO  |http-nio-3000-exec-3 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 4 ms
2024-02-21 21:43:57 |INFO  |http-nio-3000-exec-3 |DruidDataSource.java:975 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2024-02-21 21:45:37 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[12e16708-db79-4d28-aa29-690e29fc63d3] Server healthy check fail, currentConnection = 1708523024159_120.227.129.112_46694
2024-02-21 21:45:37 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[12e16708-db79-4d28-aa29-690e29fc63d3] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-21 21:45:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[12e16708-db79-4d28-aa29-690e29fc63d3] Success to connect a server [116.62.71.84:8848], connectionId = 1708523140097_120.227.129.112_46761
2024-02-21 21:45:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[12e16708-db79-4d28-aa29-690e29fc63d3] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1708523024159_120.227.129.112_46694
2024-02-21 21:45:40 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1708523024159_120.227.129.112_46694
2024-02-21 21:45:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[12e16708-db79-4d28-aa29-690e29fc63d3] Notify disconnected event to listeners
2024-02-21 21:45:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[12e16708-db79-4d28-aa29-690e29fc63d3] Notify connected event to listeners.
