2024-03-26 12:02:58 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1711425777242_120.227.131.99_45609
2024-03-26 12:02:58 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Notify connected event to listeners.
2024-03-26 12:02:58 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-26 12:02:58 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$858/758057380
2024-03-26 12:02:59 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-3000"]
2024-03-26 12:02:59 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 3000 (http) with context path ''
2024-03-26 12:03:00 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP user-center 192.168.10.5:3000 register finished
2024-03-26 12:03:00 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-26 12:03:00 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-26 12:03:00 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-26 12:03:00 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.user_center.CenterEditApplication |Started CenterEditApplication in 15.396 seconds (JVM running for 16.945)
2024-03-26 12:03:05 |INFO  |http-nio-3000-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-26 12:03:05 |INFO  |http-nio-3000-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-26 12:03:05 |INFO  |http-nio-3000-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 5 ms
2024-03-26 12:03:49 |INFO  |Thread-15 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
